,Index,Tamil,English
0,0," ""சாகும் தருவாயில் குழந்தை பொய் சொல்லாது.. முதல்வர் மவுனம் காப்பது ஏன்?"" பாஜக நால்வர் குழு கேள்வி"," ""A child does not lie on the verge of death.. Why is the Chief Minister keeping silent?"" BJP Quartet Question"
1,1,"February month rasi palan 2022 tamil: கன்னி, துலாம் ராசிக்காரர்களுக்கு மகிழ்ச்சி நிறைந்த மாதம் ", February month rasi palan 2022 tamil: Happy month for Virgo and Libra
2,2,"கொளுத்தி போட்ட இந்துத்துவா.. ""இது இந்து கோயில். இந்து வியாபாரி மட்டுமே கடை வைக்கலாம்"".. பரபர பேனர்"," Hindutva lit up.. ""This is a Hindu temple. Only a Hindu trader can open a shop"".. Banner"
3,3," ""முதல்வருக்கு தாயுள்ளம்.. இடப்பங்கீட்டில் நல்லது நடக்கும் என நம்புகிறோம்.."" துரை வைகோ பளீச் பேச்சு","""Congratulations to the Chief Minister. We hope that good things will happen in the allocation of space."" Durai Vaiko Baleech speech"
4,4, தலைநகர் சென்னையை குறி வைக்கும் தேமுதிக.. 100 வார்டுகளுக்கு வேட்பாளர் பட்டியல் வெளியீடு, Demudika targeting capital Chennai.. Release of list of candidates for 100 wards
5,5,திமுக & அதிமுகவில் இருந்து.. பலரும் பாஜகவில் சேரப்போறாங்களாம்.. சொல்கிறார் பாஜக சீனிவாசன், From DMK & AIADMK.. Many people will join BJP.. says BJP's Srinivasan
6,6,"கொரோனா பரவலுக்கு மத்தியில் பள்ளி, கல்லூரிகள் இன்று திறப்பு - வழிகாட்டு நெறிமுறைகள் என்னென்ன ", Opening of schools and colleges today amid the spread of Corona - What are the guidelines?
7,7,தமிழகத்தில் பள்ளி மாணவர்களுக்கு முதல் திருப்புதல் தேர்வு பிப்.9ல் ஆரம்பம் - புதிய அட்டவணை வெளியீடு ,Tamil Nadu School Students First Return Exam Starts Feb 9 - New Schedule Released
8,8,சென்னைவாசிகளுக்கு குட் நியூஸ்.. மெரினா உள்ளிட்ட கடற்கரைகளுக்கு இன்று முதல் பொதுமக்கள் செல்ல அனுமதி! , Good news for residents of Chennai.. People are allowed to go to beaches including Marina from today!
9,9,திருமாவின் ஸ்பீடு.. திமுகவை ஓவர்டேக் செய்த விசிக.. லிஸ்ட் வெளியிட்டது.. சென்னையை தட்டி தூக்கியதா?, Thiruma's speed.. DMK overtook Vishika.. published the list.. knocked Chennai?
10,10,'கல்விக்காக தொடர்ந்து உதவி செய்வேன்'.. பிரதமர் மோடி பாராட்டிய இளநீர் வியாபாரி தாயம்மாள் உறுதி ,'I will continue to help for education'
11,11,நீங்க தலையிடுங்க! அப்பா சிகிச்சையில்.. நேராக சென்று முதல்வர் ஸ்டாலினை சந்தித்த துரை வைகோ -என்னாச்சு, You interfere! Father in treatment.. Durai Vaiko went straight to meet Chief Minister Stalin - what happened
12,12, வேட்பாளர்கள் பட்டியலை வெளியிடுகிறாரா விஜய்?.. உற்சாகத்துடன் பிரச்சாரத்தை தொடங்கிய இயக்கத்தினர்! , Is Vijay publishing the list of candidates?.. The activists started the campaign with enthusiasm!
13,13,அவசரம் காட்டுவது ஏன்? பள்ளிகள் திறப்பால் குழந்தைகளுக்கு பாதிப்பை ஏற்படுத்தி விடக்கூடாது - அன்புமணி ,Why the rush? Children should not be harmed by the opening of schools - Anbumani
14,14,முனுசாமி செய்த காரியத்தை பார்த்தீங்களா.. 2 நாளில் 2 இடத்திலும் ஷாக் தந்து.. ஊரெல்லாம் இதான் பேச்சு, Did you see what Munusamy did.. Shocked at 2 places in 2 days.. The whole town is talking about this.
15,15, ஜெட் வேகத்தில் மணல் விலை.. காரணத்தை பட்டியலிட்ட ஓ.பி.எஸ்.. தமிழக அரசுக்கு வைத்த முக்கிய கோரிக்கை! , Jet speed sand price.
16,16,சீட்டா.. வேண்டவே வேண்டாம்.. ஓடும் பாஜக நிர்வாகிகள்.. வரிசைகட்டிய அதிமுக தலைகள்.. என்ன நடக்கிறது? ,Cheetah.. Don't ask.. BJP executives running.. AIADMK heads lined up.. What is happening?
17,17, பட்ஜெட்: வருகிறது காவிரி - பெண்ணாறு இணைப்புத் திட்டம்.. நிதி அமைச்சர் நிர்மலா சீதாராமன் அறிவிப்பு , Budget: Cauvery-Pennanaru Link Project Coming.. Finance Minister Nirmala Sitharaman Announcement
18,18,BUDGET: டிஜிட்டல் கரன்சி முதல் ஒரே பத்திரபதிவு வரை.. நிதி அமைச்சர் நிர்மலாவின் டாப் 15 அறிவிப்புகள் ," BUDGET: From Digital Currency to Single Bond Registration, Finance Minister Nirmala's Top 15 Announcements"
19,19, கூட்டுறவு சங்கங்களில் முக்கிய பொறுப்பு! சீட் கிடைக்காதவர்களிடம் சமாதானம் பேசும் திமுக மா.செ.க்கள்! ,Major Responsibility in Co-operative Societies! DMK MPs talking peace with those who did not get seats!
20,20,"சரிங்க.. சும்மா மன்னிச்சுட்டே இருக்க முடியாது.. செம கோபத்தில் விந்தியா.. இதெல்லாம் ""அவருக்கு"" தேவையா"," Well.. I can't just forgive.. Vindhya is so angry.. Does ""he"" need all this?"
21,21,"மேம்பாட்டுக்கு வழி வகுக்கும் பட்ஜெட் , வருமானவரி விகிதம் மாறாதது ஏமாற்றம் - பாமக நிறுவனர் ராமதாஸ் "," Budget that paves way for development, income tax rate not changing disappointing - Ramadoss, founder of Bamaga"
22,22, மத்திய பட்ஜெட் ஏமாற்றம் அளிக்கிறது! சாமானியனுக்கு எந்த பயனும் இல்லை! கொங்கு ஈஸ்வரன் சாடல்! ,Central Budget Disappointing! It is of no use to the common man! Kongu Iswaran Chatal!
23,23,பள்ளிகளில் சுழற்சி முறையில் வகுப்புகள் நடைபெறுமா? சுகாதாரத்துறை செயலாளர் ராதாகிருஷ்ணன் பதில் இதுதான், Do schools hold classes on a rotational basis? Health Secretary Radhakrishnan replied this
24,24,திட்டங்களை அறிவித்தால் மட்டும் போதாது! அதனை செயல்படுத்துவது அவசியம்! பட்ஜெட் பற்றி கூறும் தினகரன்! , Announcing projects is not enough! It is necessary to implement it! Dinakaran says about the budget!
25,25,வேட்புமனுவில் தவறான தகவல்! ஓ.பி.எஸ். மீதான விசாரணைக்கு பிப்.21 வரை தடை! உயர்நீதிமன்றம் உத்தரவு! ,Wrong information in the application! OPS Prohibited until Feb. 21 for investigation! High Court order!
26,26,"""வெட்கம் முளைக்குது, வெப்பமடிக்கிது"".. கூலிங்கிளாஸுடன் அமைச்சர் குத்தாட்டம்.. பூரித்துபோன புதுச்சேரி"," ""Shame sprouts and heats up""."
27,27,அது வேற இது வேற.. என்ன அண்ணாமலை ஒன்று சொல்ல.. எடப்பாடி வேறு ஒன்று சொல்கிறாரா? என்ன நடக்குது? ," That is different, this is different.. What is Annamalai saying one thing.. Is Edappadi saying something else? What is happening?"
28,28,"EXCLUSIVE : டிஜிபி, ஏடிஜிபி பதவி உயர்வு வரிசைப்பட்டியல் தயார்... விரைவில் வெளியாகிறது பதவி உயர்வு","EXCLUSIVE : DGP, ATGP promotion list is ready...promotion will be released soon"
29,29,"அபராதம் விதிக்கப்படும் என எச்சரித்த உயர்நீதிமன்றம், அவசரமாக வழக்கை வாபஸ் பெற்ற அதிமுக பின்னணி என்ன? ", What is the background of the AIADMK hastily withdrawing the case after the High Court warned of fines?
30,30,வெறும் வார்த்தை ஜாலம்! ஒன்றும் உதவாது! மத்திய பட்ஜெட் பற்றி வேல்முருகன் அதிருப்தி! , Just words! Nothing helps! Velmurugan is unhappy about the central budget!
31,31, மத்திய பட்ஜெட் எப்படி? யானைப் பசிக்கு சோளப்பொரி போடுவது போல்! விளாசும் தமிழக காங்கிரஸ்! , How about the central budget? It's like cornmeal for an elephant's hunger! The Tamil Nadu Congress is booming!
32,32,"""மக்களின் வாழ்வில் எந்த மாற்றத்தையும் ஏற்படுத்தாத பட்ஜெட் இது.."" சாடும் மக்கள் நீதி மய்ய தலைவர் கமல்","""This is a budget that will not bring any change in the lives of the people."" Chadum Makkal Neeti Mayya President Kamal"
33,33,"காங்கிரசுக்கு அதிக இடம் வேண்டும்.. கேட்ட அழகிரி.. ஒற்றை ""கிண்டல் கமெண்ட்டில்"" ஆப் செய்த துரைமுருகன்!"," Congress wants more space.. Alagiri asked.. Duraimurugan posted a single ""teasing comment""!"
34,34," ""5ஜி முதல் வேலைவாய்ப்பு வரை.. முன்னேற்ற பாதைக்கு அழைத்து செல்லும் பட்ஜெட்.."" பாராட்டி தள்ளிய ஈபிஎஸ்"," ""From 5G to employment..Budget that will take the path of progress.."" Appreciated EPS"
35,35,"""மக்கள் நலனை மறந்த நிதிநிலை அறிக்கை.. தமிழக மக்களுக்குப் பெருத்த ஏமாற்றம்.."" முதல்வர் ஸ்டாலின் சாடல்","""Financial report that forgot the welfare of the people.. A big disappointment for the people of Tamil Nadu.."" Chief Minister Stalin Chatal"
36,36," ""21 தமிழக மீனவர்கள் கைது.. நீண்டகால பிரச்சனையை நிரந்தரமாக தீர்க்க நடவடிக்கை தேவை.."" முதல்வர் கடிதம்"," ""21 Tamil Nadu fishermen arrested.. Steps are needed to solve the long-standing problem permanently.."" Chief Minister's letter"
37,37,"""இரட்டை இலை.."" அதிமுக வைத்துள்ள சூப்பர் பிளான்.. சென்னை மாநகராட்சி வேட்பாளர் பட்டியலும் வெளியீடு "," ""Double leaf.."" AIADMK's super plan.. Chennai Corporation candidate list also released"
38,38, நகர்ப்புற உள்ளாட்சித் தேர்தல்.. மதிமுக & அமமுக கட்சிகளுக்கு சின்னம் ஒதுக்கீடு,Urban Local Body Elections.. Allotment of Symbols to MDMK & AAMK Parties
39,39, தமிழகத்தில் 2 லட்சத்திற்கு கீழ் சென்ற ஆக்டிவ் கேஸ்கள்.. தொடர்ந்து குறையும் பாசிட்டிவ் ரேட், Active cases in Tamil Nadu have gone below 2 lakh.. Positive rate will continue to decrease
40,40,'கூண்டோடு மாத்திடுவேன்..' பெண்ணை அலைக்கழித்த போலீஸ்.. வாக்கி டாக்கியில் வந்து அலறவிட்ட ஆணையர் ரவி, Commissioner Ravi came on walkie talkie and shouted 'I will kill the woman with a cage.'
41,41," ""இனிப்பும் கசப்பும் கலந்த கலவையாக மத்திய பட்ஜெட் உள்ளது.."" தேமுதிக தலைவர் விஜயகாந்த்"," ""The Union Budget is a mix of sweet and bitter."" DMUDHI President Vijayakanth"
42,42," இ பாஸ்போர்ட், டிஜிட்டல் ரூபாய், ஒரே தேசம்-ஒரே பதிவு- மத்திய பட்ஜெட்டின் 70 முக்கிய அம்சங்கள்!","E-Passport, Digital Rupee, One Nation-One Registration- 70 Important Features of Union Budget!"
43,43,தஞ்சை மாணவி தற்கொலை விவகாரம்.. நீதி கேட்டு டெல்லி தமிழ்நாடு இல்லம் முன் ஏபிவிபி அமைப்பு ஆர்ப்பாட்டம், Tanjore student suicide issue.. ABVP protest in front of Delhi Tamil Nadu house demanding justice
44,44,"இளைஞர்கள், பெண்கள், ஏழை எளிய மக்களின் வளர்ச்சிக்கான பட்ஜெட் - நிர்மலா சீதாராமன் பெருமிதம் "," Budget for the development of youth, women and the poor - Nirmala Sitharaman is proud"
45,45,"தனி நபர் வருமான வரி விலக்கு உச்சவரம்பு மாற்றமில்லை.. மாத சம்பளதாரர்களுக்கு ""அல்வா "" கொடுத்த பட்ஜெட் ",Personal Income Tax Exemption Ceiling No Change
46,46,பட்ஜெட்2022: காகித பட்ஜெட் டூ டிஜிட்டல் பட்ஜெட் - சில ஆச்சர்யங்களும் சுவராஸ்யங்களும் , Budget2022: Paper Budget to Digital Budget - Some surprises and surprises
47,47,"இந்தியாவில் ஒரே நாளில் 1.67 லட்சம் பேருக்கு கொரோனா தொற்று.. 1,192 பேர் உயிரிழப்பு "," In India, 1.67 lakh people were infected with corona in one day.. 1,192 people died"
48,48,பட்ஜெட் தயாரிப்பு.. 5 பேர் குழுவில் இடம்பெற்ற தமிழக அதிகாரி.. யார் இந்த ஐவர்? முக்கிய பங்கு என்ன? , Budget preparation..Tamil Nadu official in the 5 person committee..Who are these five? What is the main role?
49,49,"25,000 கி.மீ. தொலைவுக்கு புதிய தேசிய நெடுஞ்சாலைகள்.. பட்ஜெட்டில் நிர்மலா சீதாராமன் அறிவிப்பு ","25,000 km. New national highways for distance.. Nirmala Sitharaman announcement in the budget"
50,50,14 துறைகளில் 60 லட்சம் வேலை வாய்ப்புகள் உருவாக்கப்படும்.. பட்ஜெட்டில் அறிவித்த நிர்மலா சீதாராமன் , 60 lakh jobs will be created in 14 sectors.. Nirmala Sitharaman announced in the budget
51,51,இனி ரொம்ப ஈசி.. ஒரே சிப்தான்.. வருகிறது இ பாஸ்போர்ட்.. நிதி அமைச்சர் நிர்மலா சீதாராமன் அதிரடி! , Now it's very easy.. It's just one click.. e-passport is coming.. Finance Minister Nirmala Sitharaman is taking action!
52,52, நிர்மலா அசத்தல்.. 400 புதிய ரயில்கள்.. 100 சரக்கு முனையங்கள்.. பட்ஜெட்டில் புது புது அதிரடி , Nirmala is amazing.. 400 new trains.. 100 freight terminals.. New action in the budget
53,53,இ வித்யா: டிஜிட்டல் பல்கலைக்கழகம்... நாடு முழுவதும் 200 டிவி சேனல்கள் - நிர்மலா சீதாராமன் , Vidya: Digital University... 200 TV Channels Nationwide - Nirmala Sitharaman
54,54,கொரோனாவால் பாதிக்கப்பட்டவர்களுக்கு மனநல ஆலோசனை வழங்க டெலி மருத்துவ வசதி: நிர்மலா சீதாராமன் , Telemedicine facility to provide mental health counseling to Corona sufferers: Nirmala Sitharaman
55,55,வரலாறு காணாத அளவு உயர்ந்த விமான எரிபொருள் விலை.. விமான பயண கட்டணங்கள் உயருகிறது , Aviation fuel prices at record highs ..Air fares go up
56,56,வருகிறது டிஜிட்டல் கரன்சி! பிளாக் செயின் தொழில்நுட்பத்தின் கீழ் செயல்படும் -நிர்மலா சீதாராமன் அதிரடி, Digital currency is coming! Nirmala Sitharaman Acting Under Blockchain Technology
57,57,"Budget 2022: வடகிழக்கு மாநில வளர்ச்சிக்கு புதிய திட்டம், பட்ஜெட் உரையில் நிர்மலா சீதாராமன் அறிவிப்பு ","Budget 2022: New Plan for North Eastern State Development, Nirmala Sitharaman Announces in Budget Speech"
58,58," மாஸ்டர் பிளான்.. வருகிறது ""கதி சக்தி"".. ஏழைகள் நலன் காக்கும் செம அறிவிப்பாக மாறுமா?"," Master Plan.. ""Kathi Shakti"" is coming.. Will it become a declaration to protect the welfare of the poor?"
