,Index,Tamil,English
0,0,சிவபெருமானின் ருத்ராட்சம் யார் அணிய முடியும்...பெண்கள் எப்போது ருத்ராட்சம் அணியலாம் , Who can wear Lord Shiva's Rudraksha...When women can wear Rudraksha
1,1,தன்வந்திரி மந்திரம் உச்சரித்து அறுவை சிகிச்சை செய்யும் டாக்டர்கள்! பரவும் கர்நாடக மருத்துவமனை வீடியோ, Doctors performing surgery by reciting Dhanvantri Mantra! Circulating Karnataka Hospital Video
2,2,மாணவரணி முதல் மாநகராட்சி தேர்தல் வெற்றி வரை...ஸ்டாலினின் 54 ஆண்டுகால அரசியல்...சுவாரஸ்ய நிகழ்வுகள் , From student girl to corporation election victory...Stalin's 54 years of politics...Interesting events
3,3,முதல்வர் ஸ்டாலினின் 69வது பிறந்தநாள் விழா.. தமிழ்நாடு முழுக்க திமுகவினர் உற்சாக கொண்டாட்டம் ,Chief Minister Stalin's 69th birthday celebration
4,4,அம்மாடியோவ்.. ஒரே நாளில் ரூ.105 உயர்ந்தது வணிக பயன்பாட்டிற்கான சிலிண்டர்.. இப்போது விலை என்ன? , Ammadiov..Rs.105 higher in one day Cylinder for commercial use..What is the price now?
5,5,திமுகவில் திடீர் பரபரப்பு- முதல்வர் மு.க.ஸ்டாலினை இன்று நேரில் சந்திக்கிறார் அண்ணன் மு.க.அழகிரி? ," Sudden commotion in DMK- Chief Minister M.K.Stalin will meet today in person, brother M.K.Azhagiri?"
6,6,பிரச்சனைக்கு காரணமே இதுதான்! உக்ரைன் - ரஷ்ய போரில் மூக்கை நுழைத்த கிம் ஜோங்! வடகொரியா தரும் ட்விஸ்ட் ,This is the cause of the problem! Kim Jong stuck his nose in the Ukraine-Russian war! A twist from North Korea
7,7," ""கரகரத்த குரலில் கொஞ்சும் அப்பாவை தேடுகிறேன்"".. நா தழுதழுத்து கருணாநிதியை நினைவுகூர்ந்த கனிமொழி! "," ""I am looking for a charming father with a hoarse voice""."
8,8,"""தர்ம சங்கடம்"".. ஸ்டாலின் அழைத்தும் ஆப்சென்ட் ஆன மம்தா, கேசிஆர்! எல்லாத்துக்கும் ""அவர்தான்"" காரணமாம்"," ""Dharma Sangadam"".. Mamata, KCR, who was absent even after Stalin called! ""He"" is the cause of everything"
9,9,மீண்டும் மீண்டும் அதையே சொல்லும் அண்ணாமலை... பாஜக 3-வது பெரிய கட்சியாக உருவெடுத்துவிட்டதாம்! ,Annamalai is saying the same thing again and again... BJP has emerged as the 3rd largest party!
10,10,"""அவரே"" போனில் கூப்பிட்டு.. புது தெம்பில் பாஜக.. திமுகவை டேமேஜ் செய்ய அடுத்த அஸ்திரம்.. பரபர களம்"," ""Avare"" called on the phone.. BJP in Pudu Them.. Next weapon to damage DMK.. Parabara kalam"
11,11,இந்துத்துவா தீவிரவாதியாம்.. கெத்தாக யூடியூப்பில் பேசியவரை கொத்தாக தூக்கிய சென்னை சைபர் கிரைம் போலீஸ், Hindutva is a terrorist.. Chennai cyber crime police ganged up the person who spoke on YouTube
12,12,எமர்ஜென்சி இருளை தந்தது இந்திரா.. பேரன் ராகுலை வைத்து புத்தக வெளியீடா?.. எத்தனை முரண்?.. அண்ணாமலை ,Emergency brought darkness to Indira.. Book publication with grandson Rahul?.. How ironic?.. Annamalai
13,13,"மேட்டரே வேற! வீட்டிற்கே போன பூச்சி.. நாசுக்காக ""நோ"" சொன்ன ரஜினி.. ஸ்டாலின் விழாவிற்கு வராதது ஏன்? "," Matter is different! An insect that went home.. Rajini said ""No"" to Nas.. Why didn't Stalin come to the function?"
14,14,"மகா சிவராத்திரி பூஜை நேரம், விரத நடைமுறை என்ன? இரவு 11.30 முதல் 1 மணி வழிபாடு முக்கியம்! முழு தகவல்", What is Maha Shivratri Pooja Timing and Fasting Procedure? 11.30pm to 1am worship is important! Full information
15,15,பதட்டமாக இருக்கு.. சார்ஜ் போட முடியலயாமே.. நடுவழியில் தவிக்கும் தமிழக மாணவர்கள்.. சு.வெங்கடேசன் கவலை, am nervous.. I am unable to charge.. Students of Tamil Nadu who are struggling in the middle.. Su Venkatesan is worried.
16,16, தமிழக முதல்வர் மு.க.ஸ்டாலின் 69-வது பிறந்த நாள்- பிரதமர் மோடி தொலைபேசியில் வாழ்த்து, Tamil Nadu Chief Minister M. K. Stalin's 69th birthday - Prime Minister Modi congratulated him on phone
17,17,சசிகலாவுக்கு கிடைக்க போகும் சான்ஸ்? முடிவுக்கு வருகிறதா ஒற்றை தலைமை.. விட்டு கொடுப்பது இவரா? அவரா? , Sasikala will get a chance? Is single leadership coming to an end.. Is he the one to give up? is he
18,18,"""பிரதமர் ஸ்டாலின்"".. தேசிய அளவில் எகிறி அடிக்கும் முதல்வர்.. ""அச்சாரம்"" போட்ட அண்ணா அறிவாலயம்","""Prime Minister Stalin""."
19,19,"""11 மணிக்கு பேசுனதெல்லாம் வேஸ்ட்டா"".. நேரம் பார்த்து நுழைந்த சசிகலா.. கலங்கிய ஜெயக்குமார்.. ட்விஸ்ட்"," ""Everything you talked about at 11 was a waste""."
20,20,"மாமி, சங்கி, குடிகாரி.. பொண்டாட்டியை இப்படி சொல்வார்களா திமுகவினர்..? காயத்ரி ரகுராம் ஆவேசம்"," Mami, chunky, drunkard.. Will the DMK call Pontati like this..? Gayatri Raghuram obsession"
21,21,தாமிரபரணி கால்வாய் இணைப்பு திட்டம்: அப்பாவு தொடர்ந்த நீதிமன்ற அவதூறு வழக்கை முடித்து வைத்த ஹைகோர்ட் ,Tamirabarani Canal Linking Project: High Court dismisses Appavu's defamation case
22,22,இப்படியா கொடி கம்பம் நடுவாங்க.. முதல்வர் ஸ்டாலினுக்கு அறப்போர் இயக்க நிர்வாகி காட்டமான கேள்வி! , This is how the flag pole is raised.
23,23,அண்ணா அறிவாலயத்தில் கமகமத்த பிரியாணி! தொண்டர்களுக்கு விருந்து கொடுத்த ஸ்டாலின்! , Kamagamatha Biryani at Anna Vidyalaya! Stalin gave a party to the volunteers!
24,24,"ராகுல்ஜி! இளமையா இருக்கிறது எப்படின்றதை விட ""இந்த"" புத்தகத்தை வாங்கி படியுங்கள்.. நாராயணன் திருப்பதி ","Rahulji! Buy and read ""this"" book than how you are young.. Narayanan Tirupati"
25,25,"அந்த ""நடிகர்"" யார்.. 13 வயது பிஞ்சுவை மாறி மாறி சீரழித்த 4 காம கொடூரர்.. அதிர்ச்சியில் உறைந்த சென்னை"," Who is that ""actor"" .. 4 lecherous men who took turns to corrupt 13-year-old Pinju .. Chennai is shocked"
26,26, முன்னாள் அமைச்சர் ஜெயக்குமார் ஜாமீன் மனு.. சென்னை ஹைகோர்ட் பிறப்பித்த முக்கிய உத்தரவு, Ex-minister Jayakumar's bail petition.. Important order issued by Madras High Court
27,27,ராணுவ தளவாடங்களை தயாரிக்க உள்நாட்டு நிறுவனங்களுக்கு ஊக்கம்! தமிழகத்திற்கு அதிக பலன்: டிஆர்டிஓ தலைவர்,Encourage domestic companies to produce military equipment! Greater benefit for Tamil Nadu: DRTO chief
28,28,திமுகவை பற்றி அப்பவே சொன்னேனே கேட்டீங்களா.. பாஜக இன்று வளர யார் காரணம்.. போட்டுடைத்த ஜான்பாண்டியன், Did you hear what I said about DMK then? Who is responsible for the growth of BJP today?
29,29, சரசவரவென குறையும் தினசரி கொரோனா.. இன்று வெறும் 348 பேருக்கு மட்டுமே வைரஸ் பாதிப்பு உறுதி, Daily Corona decreasing rapidly.. Today only 348 people are confirmed to be affected by the virus
30,30, சிஐடி காலனி இல்லத்திற்கு சென்ற முதல்வர் ஸ்டாலின்! ராஜாத்தி அம்மாளிடம் வாழ்த்து பெற்றார்,Chief Minister Stalin went to CIT Colony House! Rajathi congratulated Ammal
31,31,"""தென்னிந்தியாவின் தவிர்க்க முடியாத அரசியல் தலைவர்.."" முதல்வர் ஸ்டாலினுக்கு கமல் பிறந்த நாள் வாழ்த்து"," ""Indispensable political leader of South India.."" Kamal wishes CM Stalin on his birthday"
32,32,"பிம்பிள்ஸும், நிர்வாண வீடியோவும்.. இப்படியெல்லாம்கூட நடக்குமா.. கோவையை அதிர வைத்த இளைஞர்", Pimples and nude video.. Can all this happen.. The youth who rocked Coimbatore
33,33," சென்னை, ஒசூர், திருச்சி, சேலத்தை முந்திய கோவை.. மத்திய அரசின் பாதுகாப்பு துறை உற்பத்தியில் அசத்தல்","Coimbatore ahead of Chennai, Hosur, Trichy, Salem"
34,34, உக்ரைன் போர் எதிரொலி! 2022 கத்தார் கால்பந்து உலகக் கோப்பையில் இருந்து ரஷ்யா நீக்கம்! FIFA அதிரடி, Echoes of the war in Ukraine! Russia removed from 2022 Qatar Football World Cup! FIFA Action
35,35, தொடரும் போர்! உக்ரைனுக்கு மனிதாபிமான அடிப்படையில் உதவி.. இந்தியா அறிவிப்பு, The war continues! Aid to Ukraine on humanitarian basis.. India announcement
36,36, ஹைதராபாத்தில் திடீர் மீட்டிங்! அடுத்து கேசிஆர் உடன் கைகோர்க்கும் பிரசாந்த் கிஷோர்.. பரபர தகவல், Sudden meeting in Hyderabad! Prashant Kishore to join hands with KCR next.. Parapara information
37,37,இந்தியா மாஸ்டர்பிளான்! மேற்கு உலகமே திரண்டு வந்தாலும்.. ரஷ்யாவை எதிர்க்காத மோடி.. 5 பெரிய காரணங்கள்! ,India Masterplan! Even though the western world is gathering.. Modi does not oppose Russia.. 5 big reasons!
38,38, உக்ரைன் விவகாரம்.. இந்தியாவின் நிலைப்பாடு என்ன.. குடியரசுத் தலைவரிடம் நேரில் விளக்கிய பிரதமர் மோடி! , The issue of Ukraine.. What is India's position.. Prime Minister Modi explained to the President in person!
